"label"	"condition"	"replicate"
"EasyPhos_Pharmacological_CTRL_1"	"Pharmacological_CTRL"	1
"EasyPhos_Pharmacological_CTRL_2"	"Pharmacological_CTRL"	2
"EasyPhos_Pharmacological_CTRL_3"	"Pharmacological_CTRL"	3
"EasyPhos_Pharmacological_CTRL_4"	"Pharmacological_CTRL"	4
"EasyPhos_Pharmacological_L41-10um_1"	"Pharmacological_L41-10um"	1
"EasyPhos_Pharmacological_L41-10um_2"	"Pharmacological_L41-10um"	2
"EasyPhos_Pharmacological_L41-10um_3"	"Pharmacological_L41-10um"	3
"EasyPhos_Pharmacological_L41-10um_4"	"Pharmacological_L41-10um"	4
"EasyPhos_Pharmacological_L41-1um_1"	"Pharmacological_L41-1um"	1
"EasyPhos_Pharmacological_L41-1um_2"	"Pharmacological_L41-1um"	2
"EasyPhos_Pharmacological_L41-1um_3"	"Pharmacological_L41-1um"	3
"EasyPhos_Pharmacological_L41-1um_4"	"Pharmacological_L41-1um"	4
"EasyPhos_Pharmacological_ALG-10um_1"	"Pharmacological_ALG-10um"	1
"EasyPhos_Pharmacological_ALG-10um_2"	"Pharmacological_ALG-10um"	2
"EasyPhos_Pharmacological_ALG-10um_3"	"Pharmacological_ALG-10um"	3
"EasyPhos_Pharmacological_ALG-10um_4"	"Pharmacological_ALG-10um"	4
"EasyPhos_Pharmacological_ALG-1um_1"	"Pharmacological_ALG-1um"	1
"EasyPhos_Pharmacological_ALG-1um_2"	"Pharmacological_ALG-1um"	2
"EasyPhos_Pharmacological_ALG-1um_3"	"Pharmacological_ALG-1um"	3
"EasyPhos_Pharmacological_ALG-1um_4"	"Pharmacological_ALG-1um"	4
